LINE_NUMBER,ZONE_NUMBER,TIME_RANGE,DIRECTION,SCHEDULED_RUN_TIME,TOTAL_OPERATING_COST,FARE_COLLECTED,FAREBOX_RECOVERY,DATE_STORED,PCNAME,SIGN_ON_DATE,OPERATING_COST_PER_HOUR,RECOVERY_PROCESSING_ID,AGGREGATE_ID,COUNTY,TYPE
553,5,4 - PM Peak,Outbound,26,55.80,40.54,73.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4718.00,Cumberland,Commuter
553,5,5 - Evening,Inbound,71,152.38,10.42,7.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4719.00,Cumberland,Commuter
553,5,5 - Evening,Outbound,22,47.21,20.20,43.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4720.00,Cumberland,Commuter
553,6,1 - Early AM,Inbound,20,42.92,11.68,27.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4721.00,Cumberland,Commuter
553,6,1 - Early AM,Outbound,16,34.34,3.56,10.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4722.00,Cumberland,Commuter
553,6,2 - AM Peak,Inbound,20,42.92,28.08,65.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4723.00,Cumberland,Commuter
553,6,2 - AM Peak,Outbound,10,21.46,19.93,93.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4724.00,Cumberland,Commuter
553,6,3 - Mid Day,Inbound,55,118.04,70.14,59.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4725.00,Cumberland,Commuter
553,6,3 - Mid Day,Outbound,50,107.31,27.91,26.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4726.00,Cumberland,Commuter
553,6,4 - PM Peak,Inbound,25,53.65,26.62,50.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4727.00,Cumberland,Commuter
553,6,4 - PM Peak,Outbound,17,36.48,22.06,60.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4728.00,Cumberland,Commuter
553,6,5 - Evening,Inbound,25,53.65,16.89,31.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4729.00,Cumberland,Commuter
553,6,5 - Evening,Outbound,14,30.04,14.05,47.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4730.00,Cumberland,Commuter
553,7,1 - Early AM,Inbound,65,139.51,23.08,17.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4731.00,Cumberland,Commuter
553,7,1 - Early AM,Outbound,38,81.55,17.49,21.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4732.00,Cumberland,Commuter
553,7,2 - AM Peak,Inbound,85,182.43,84.16,46.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4733.00,Cumberland,Commuter
553,7,2 - AM Peak,Outbound,51,109.46,24.07,22.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4734.00,Cumberland,Commuter
553,7,3 - Mid Day,Inbound,240,515.11,231.36,45.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4735.00,Cumberland,Commuter
553,7,3 - Mid Day,Outbound,167,358.43,105.55,29.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4736.00,Cumberland,Commuter
553,7,4 - PM Peak,Inbound,123,263.99,78.83,30.00,5/17/2013 12:06:24,NWK052120,5/8/2013 0:00:00,128.77,3337.00,4737.00,Cumberland,Commuter
